id,nickname
9189,ramon_alos
15599,paseante
17166,kaiene
17179,guillem_tell_40
17195,mfraileg
11201,anonim_2_3_4_5_6_112
17222,jorgems
17230,lakerol
17239,ignasi_badia_nogues
17248,marc_chesa
7742,paula_vts
5519,teresa_cambra
17324,lem
17350,user17350
17423,pilar_rodriguez_pere
17380,ruth_maria_costa_alo
17331,dnl
17325,francisco_gonzalez_n
17487,elisenda_monclus
31410,associacio_de_vei_23
17502,ramon_raluy
10665,coque
9479,juano_2
17532,daniel79
31436,ace30
17613,neve
12914,guguseti
12579,eugeni
13133,jimmy
17700,mare
17756,carlos_de_pablo_gonz
17783,_2_3_4_5_6_7_8_9__29
17784,anna_v
31439,esplais_catalans_esp
17805,ar_2
17708,rumbiyo
17846,noemi_2_3_4_5
17799,ANESDOR
14805,merce2bcn
17977,conxi_perez_radua
10429,carmen_micas_estalay
18051,rac
18100,swiack
6921,albert_viladot
